一|one; one radical (no.1)
七|seven
万|10,000; ten thousand
三|three
上|above; up
下|below; descend;; inferior; low
中|center; in; inside; middle
九|nine
二|two; two radical (no. 7)
五|five
人|person
今|now
休|day off; rest; retire
会|association; join; meet; meeting
何|what
先|ahead; before; future; previous
入|enter; insert
八|eight; eight radical (no. 12)
六|six
円|circle; round; yen
出|come out; exit; go out; leave; protrude; put out
分|degree; know; understand; minute of time; part
前|before; in front
北|north
十|ten
千|thousand
午|11AM-1PM; noon; seventh sign of Chinese zodiac; sign of the horse
半|half; middle; odd number; part-; semi-
南|south
友|friend
口|mouth
古|old
右|right
名|distinguished; name
四|four
国|country
土|earth; ground; soil
外|outside
多|frequent; many; much
大|big; large
天|heavens; imperial; sky
女|female; woman
子|child
学|learning; science; study
安|cheap; contented; low; peaceful; quiet; relax; rested
小|little; small
少|few; little
山|mountain
川|river
左|left
年|year
店|shop; store
後|back; behind; later
手|hand
新|new
日|counter for days; day; Japan; sun
時|hour; time
書|write
月|month; moon
木|tree; wood
本|book; counter for long cylindrical things; origin; real; true
来|become; cause; come; due; next
東|east
校|correction; exam; printing; proof; school
母|mother
毎|every
気|air; atmosphere; mind; mood; spirit
水|water
火|fire
父|father
生|birth; genuine; life
男|male
白|white
百|hundred
目|eye; favor; insight; look
社|association; company; firm
空|empty; sky; vacant; vacuum; void
立|stand up; erect; rise; set up
耳|ear
聞|ask; hear; listen
花|flower
行|go; act; carry out; line; row
西|west
見|look at; opinion; see; visible
言|say; word
話|tale; talk
語|language; speech; word
読|read
買|buy
足|be sufficient; counter for pairs of footwear; foot; leg
車|car
週|week
道|course; district; journey; moral; road-way; street; teachings
金|gold
長|leader; long; senior; superior
間|interval; space
雨|rain
電|electricity
食|eat; food
飲|drink; smoke; take
駅|station
高|expensive; high; tall
魚|fish
