あし|Foot
かい|Shell
うし|Cow, ox
えき|Station
しお|Salt
かさ|Umbrella&nbsp;
くし|Comb
いけ|Pond
ここ|Here
そこ|There
すいか|Watermelon
あせ|Sweat
か|Mosquito
け|Hair
こども|子
もちど|Again
よくできました|Well done, good job
あかい|Red
あう|To meet
え|Picture
あおい|Blue
さか|Slope
あき|Autumn&nbsp;
しかく|Square
さけ|Sake
いす|椅
せかい|World
きそく|Regulation
うそ|Lie
たいこ|Drum
うち|House
くつ|Shoes
て|Hand
いと|Thread
さかな|魚
かに|Crab
&nbsp;いぬ|Dog
ねこ|Cat
つの|Horn
はし|Bridge
ひ|火
ふえ|Flute
へい|Wall
ほし|Star
くち|Mouth
きせつ|Season
ちかてつ|Subway
おととい|The day before yesteday
なつ|Summer
くに|Country&nbsp;
おかね|Money
はた|Flag
ふね|Ship
はな|Flower
ほね|Bone
うま|Horse
みみ|Ear
むし|Insect
め|目
くも|Cloud
やま|Mountain&nbsp;
ゆき|Snow
よる|Night
さくら|Cherry blossoms
はかり|Scale&nbsp;
さる|Monkey
きれ|Cloth
しろ|Castle
かわ|河
せんす|Holding fan
きんこ|Safe
あたま|Head
うみ|Sea
あめ|Rain
かいもの|Shopping
ゆめ|Dream
まくら|Pillow
おつり|Change
こころ|Heart
にわ|Garden
ほんや|Book store
がか|Painter
めがね|Glasses
がんか|Metal coin
かぎ|Key
ぐんじん|Soldier
かぐ|Furniture
げた|Wooden clogs
わなげ|Quoits
ごはん|Rice
りんご|Apple
はいざら|Ash tray
ちず|Map
かぜ|Wind
すいぞくかん|Aquarium&nbsp;
ふじさん|Mt. Fuji
がいこくじん|Foreigner
かがく|Chemistry&nbsp;
ぎんこ|Bank
みぎ|右
みぐすり|Eye Lotion
げんいん|Cause
ひげ|Beard
ごご|Afternoon
かざん|Volcano
みず|水
ごぜん|Morning
くだもの|Fruit
でんわ|House phone
まど|Window
かばん|Bag
えび|Shrimp
かべ|Wall of house&nbsp;
おぼん|Tray
でんぱ|Radio wave
えんぴつ|Pencil
てんぷら|Tempura
さんぽ|Walk
ひだり|左
えだ|Branch
うで|Arm
でんき|Electricity&nbsp;
おどり|Dance
たばこ|Cigarette
ゆび|Finger
へび|Snake
ぶんか|Culture
なべ|Pan
ぼいん|Vowel
らっかさん|Parachute
がっき|Musical instrument
せっけん|Soap
けっこん|Marriage
ざっし|Magazine
きって|Stamp
らっぱ|Bugle, trumpet
きっぷ|Ticket
ほっぺた|Cheek
いっかい|First floor
さっか|Writer
にっき|Diary
はっけん|Discovery
いっさつ|One book
はっせん|Eight thousand
けっせき|Absence
ねったい|The tropics
あさって|The day after tomorrow&nbsp;
こぎって|Cheque
しっぱい|Failure&nbsp;
せいねんがっぴ|Date of birth
おかあさん|Mother
おばあさん|Grandmother
おじいさん|Grandfather
おにいさん|Elder brother
せんぷうき|Electric fan
ふうとう|Envelope
れいぞうこ|Refrigerator&nbsp;
おねえさん|Elder sister
ひこうき|Airplane
&nbsp;ぼうし|Hat, cap
こおり|Ice
おおかみ|Wolf
えいご|English
けいざい|Economy
へいわ|Peace
めいし|Noun
くうき|Air
こうつう|Transportation
つうしん|Correspondence&nbsp;
ぞう|Elephant
ぼうえき|Foreign trade
ぶんぽう|Grammar
げつようび|Monday
とおか|The tenth, ten days
おおきい|Big, large
とおい|Far
きゃく|客
ちきゅう|Earth
すいぎゅう|Water buffalo
けんびきょう|Microscope
きんぎょ|Goldfish
にんぎょう|Doll
いしゃ|Doctor
じてんしゃ|Bicycle
じんじゃ|Shinto shrine
じゅうどう|Judo
はつでんしょ|Power station
しょうぼうじどうしゃ|Fire engine
きゅうきゅうしゃ|Ambulance
げっきゅう|Monthly salary
べんきょう|Study
こうぎょう|Industry
のうぎょう|Agriculture
うんてんしゅ|Driver
じゅうにがつ|December
びじゅつかん|Art museum
じしょ|Dictionary
しょうがくきん|Scholarship
こうじょう|Factory
こうちゃ|Black tea
かぼちゃ|Squash
ちゅうしゃ|Injection
ちょっかく|Right angle
ちょうちん|Paper lantern
ぎゅうにゅう|Milk
ひゃくえん|100 yen
ひょうざん|Ice berg
びょういん|Hospital
みゃく|Pulse
りょこう|Trip, travel
りゅう|Dragon
うちゅう|Universe
ちゅうがっこう|Junior highschool
こうちょう|Principal, headmaster
ゆにゅう|Import
いちびょう|One second
びょうき|Illness
がっこう|School
